Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","1990","1990","1000 ha","10000","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","1991","1991","1000 ha","10003","A","Official figure",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","1992","1992","1000 ha","9800","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","1993","1993","1000 ha","9900","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","1994","1994","1000 ha","9900","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","1995","1995","1000 ha","9900","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","1996","1996","1000 ha","10000","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","1997","1997","1000 ha","10003","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","1998","1998","1000 ha","10000","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","1999","1999","1000 ha","10000","A","Official figure",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2000","2000","1000 ha","10000","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2001","2001","1000 ha","10100","A","Official figure",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2002","2002","1000 ha","10200","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2003","2003","1000 ha","10270","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2004","2004","1000 ha","10757.1","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2005","2005","1000 ha","11314.2","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2006","2006","1000 ha","11871.3","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2007","2007","1000 ha","12418.4","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2008","2008","1000 ha","12974.4","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2009","2009","1000 ha","13186.7","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2010","2010","1000 ha","13399","I","Value imputed by a receiving agency",""
"RL","Land Use","834","United Republic of Tanzania","5110","Area","6620","Cropland","2011","2011","1000 ha","13611.3","I","Value imputed by a receiving agency",""
