Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","t","20","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","t","20","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","t","20","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","t","20","A","Official figure","Official figure"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","t","715","A","Official figure","Official figure"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","t","557","A","Official figure","Official figure"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","t","7","A","Official figure","Official figure"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","t","49","A","Official figure","Official figure"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","t","1","A","Official figure","Official figure"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","1","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","1","E","Estimated value","Estimated Value"
"RP","Pesticides Use","834","United Republic of Tanzania","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","1","E","Estimated value","Estimated Value"
