Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1991","1991","t","11318","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1992","1992","t","10000","X","Figure from external organization","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1993","1993","t","6800","X","Figure from external organization","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1994","1994","t","6900","X","Figure from external organization","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1995","1995","t","7000","X","Figure from external organization","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1996","1996","t","7000","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1997","1997","t","8300","X","Figure from external organization","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1998","1998","t","5917","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1999","1999","t","6234","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2000","2000","t","5974","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2001","2001","t","884","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2002","2002","t","5281","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2003","2003","t","6390","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2004","2004","t","9725","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2005","2005","t","16825","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2006","2006","t","11552","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2007","2007","t","8992","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2008","2008","t","9264","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2009","2009","t","14951","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2010","2010","t","27349","A","Official figure","Official data from questionnaire"
