holding_id,sec16_otherproducts__id,s16q02a,s16q02b,s16q03,s16q03_unit,s16q04,s16q05,s16q06d,s16q06e
00-27-68-61,Animal dung from ruminants and poultry,,,,,No,,,
00-27-89-89,Animal dung from ruminants and poultry,,,,,No,,,
00-28-80-31,Animal dung from ruminants and poultry,,,,,No,,,
00-28-82-84,Animal dung from ruminants and poultry,,,,,No,,,
00-29-39-81,Animal dung from ruminants and poultry,,,,,No,,,
00-29-77-77,Animal dung from ruminants and poultry,,,,,No,,,
00-29-86-15,Animal dung from ruminants and poultry,,,,,No,,,
00-30-30-56,Animal dung from ruminants and poultry,,,,,No,,,
00-30-86-72,Animal dung from ruminants and poultry,,,,,No,,,
00-31-26-41,Animal dung from ruminants and poultry,,,,,No,,,
00-31-48-93,Animal dung from ruminants and poultry,,,,,No,,,
00-31-72-15,Animal dung from ruminants and poultry,,,,,No,,,
00-31-79-08,Animal dung from ruminants and poultry,,,,,Yes,,,36667
00-31-83-65,Animal dung from ruminants and poultry,,,,,Yes,,,43333
00-31-84-61,Animal dung from ruminants and poultry,,,,,No,,,
00-31-93-40,Animal dung from ruminants and poultry,,,,,No,,,
00-32-06-28,Animal dung from ruminants and poultry,,,,,No,,,
00-33-30-02,Sting/Stingless bee honey,5,0,40,Litres,No,,,
00-33-38-75,Animal dung from ruminants and poultry,,,,,No,,,
00-33-56-97,Animal dung from ruminants and poultry,,,,,No,,,
00-33-79-01,Animal dung from ruminants and poultry,,,,,No,,,
00-33-84-00,Animal dung from ruminants and poultry,,,,,No,,,
00-34-23-62,Animal dung from ruminants and poultry,,,,,No,,,
00-34-30-26,Animal dung from ruminants and poultry,,,,,No,,,
00-34-41-83,Animal dung from ruminants and poultry,,,,,No,,,
00-34-43-51,Animal dung from ruminants and poultry,,,,,No,,,
00-34-49-85,Sting/Stingless bee honey,0,17,100,Litres,Yes,40,3333,
00-34-50-85,Sting/Stingless bee honey,20,0,200,Litres,Yes,5,4333,
00-34-51-57,Animal dung from ruminants and poultry,,,,,No,,,
00-34-77-41,Animal dung from ruminants and poultry,,,,,No,,,
00-35-31-36,Animal dung from ruminants and poultry,,,,,No,,,
00-35-34-55,Animal dung from ruminants and poultry,,,,,No,,,
00-35-42-16,Animal dung from ruminants and poultry,,,,,No,,,
00-35-52-23,Animal dung from ruminants and poultry,,,,,No,,,
00-35-70-98,Animal dung from ruminants and poultry,,,,,No,,,
00-35-75-32,Animal dung from ruminants and poultry,,,,,No,,,
00-35-93-25,Animal dung from ruminants and poultry,,,,,No,,,
00-35-95-17,Animal dung from ruminants and poultry,,,,,No,,,
00-36-26-87,Animal dung from ruminants and poultry,,,,,No,,,
00-36-71-86,Animal dung from ruminants and poultry,,,,,No,,,
00-36-80-66,Animal dung from ruminants and poultry,,,,,No,,,
00-37-33-27,Animal dung from ruminants and poultry,,,,,No,,,
00-37-63-40,Animal dung from ruminants and poultry,,,,,No,,,
00-38-17-19,Animal dung from ruminants and poultry,,,,,No,,,
00-38-24-67,Animal dung from ruminants and poultry,,,,,No,,,
00-38-74-07,Animal dung from ruminants and poultry,,,,,No,,,
00-38-88-74,Animal dung from ruminants and poultry,,,,,No,,,
00-38-97-86,Animal dung from ruminants and poultry,,,,,No,,,
00-38-98-64,Animal dung from ruminants and poultry,,,,,No,,,
00-38-99-68,Animal dung from ruminants and poultry,,,,,No,,,
00-40-39-73,Animal dung from ruminants and poultry,,,,,No,,,
00-40-64-16,Animal dung from ruminants and poultry,,,,,No,,,
