holding_id,buildings_roster__id,s20q01,s20q01a__1,s20q01a__2,s20q01a__3,s20q01a__4,s20q01a__5,s20q01a__6,s20q01a__7,s20q01a__8,s20q01a__9,s20q01a__11,s20q01a__12,s20q01a__13,s20q01a__14,s20q01a__15,s20q01a__16,s20q01a__17,s20q01a__18,s20q01a__19,s20q01a__20,s20q01a__21,s20q01a__22,s20q01a__23,s20q01a__24,s20q01a__25,s20q01a__26,s20q01a__27,s20q01a__28,s20q01a__29,s20q01a__30,s20q01a__31,s20q03__1,s20q03__4,s20q03__5,s20q03__6,s20q03__7,s20q03__8,s20q03__9,s20q03__10,s20q03__11,s20q03__12,s20q03__13,s20q03__14,s20q03__15,s20q03__16,s20q03__17,s20q03__18,s20q03__19,s20q03__20,s20q03__21,s20q04__1,s20q04__2,s20q04__3,s20q04__4,s20q04__5,s20q04__6,s20q04__99,s20q05,s20q07a,s20q07b_unit,s20q08,s20q09
00-01-98-69,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,OWNED,20,100 KG BAGS,No,
00-01-98-69,"Livestock barns (Cattle, goats, sheep, pigs, poultry)",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,No,OWNED,,,No,
00-02-02-21,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,50,120 KG BAGS,No,
00-02-02-21,"Livestock barns (Cattle, goats, sheep, pigs, poultry)",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,No,OWNED,,,No,
00-02-05-19,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,10,100 KG BAGS,No,
00-02-10-68,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,17,100 KG BAGS,No,
00-02-29-95,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,20,100 KG BAGS,No,
00-02-34-98,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,25,120 KG BAGS,No,
00-02-83-12,"Warehouse (grain. Fertilizers, animal feeds)",Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,50,120 KG BAGS,No,
00-02-83-12,Store,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,10,120 KG BAGS,No,
00-02-83-12,"Livestock barns (Cattle, goats, sheep, pigs, poultry)",Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,No,OWNED,,,No,
00-02-83-89,"Livestock barns (Cattle, goats, sheep, pigs, poultry)",Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,No,OWNED,,,No,
00-02-93-97,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,No,OWNED,,,No,
00-03-00-74,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,OWNED,20,100 KG BAGS,No,
00-03-06-74,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,10,100 KG BAGS,No,
00-03-19-70,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,20,100 KG BAGS,No,
00-03-38-91,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,25,50 KG BAGS,No,
00-03-42-08,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,7,120 KG BAGS,No,
00-03-43-13,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,39,120 KG BAGS,No,
00-03-45-75,"Warehouse (grain. Fertilizers, animal feeds)",Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,120,100 KG BAGS,No,
00-03-45-75,Store,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,No,OWNED,,,No,
00-03-45-75,"Livestock barns (Cattle, goats, sheep, pigs, poultry)",Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,No,OWNED,,,No,
00-03-49-11,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,No,OWNED,,,No,
00-03-49-11,"Livestock barns (Cattle, goats, sheep, pigs, poultry)",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,No,OWNED,,,No,
00-03-68-44,Store,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,12,120 KG BAGS,No,
00-03-80-49,Traditional grain silos,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,OWNED,80,25 KG BAGS,No,
00-03-80-49,Store,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,OWNED,100,25 KG BAGS,No,
