holding_id,FIELD__id,s3q03,s3q04a_hectares
00-11-19-78,1,Rented or leased in,0
00-11-23-65,1,Customary right of occupancy,0
00-11-37-78,1,Borrowed for free,0
00-11-37-78,2,Borrowed for free,0
00-11-37-78,3,Borrowed for free,0
00-11-37-78,4,Purchased,0
00-11-37-78,5,Purchased,0
00-11-37-78,6,Inherited,0
00-11-67-19,1,Customary right of occupancy,0
00-12-50-77,1,Purchased,2
00-12-50-77,2,Purchased,5
00-12-57-13,1,Inherited,2
00-12-62-64,1,Customary right of occupancy,0
00-12-62-79,1,Purchased,0
00-12-62-79,2,Borrowed for free,0
00-12-73-56,1,Customary right of occupancy,2
00-12-99-08,1,Granted right of occupancy,1
00-12-99-08,2,Granted right of occupancy,1
00-12-99-08,3,Rented or leased in,1
00-13-02-41,1,Purchased,0
00-13-02-41,2,Purchased,1
00-13-34-48,1,Inherited,0
00-13-62-62,1,Customary right of occupancy,1
00-13-67-00,1,Purchased,1
00-13-95-16,1,Borrowed for free,0
00-13-95-16,2,Borrowed for free,0
00-13-99-00,1,Granted right of occupancy,0
00-13-99-00,2,Granted right of occupancy,1
00-14-21-50,1,Inherited,1
00-14-24-86,1,Customary right of occupancy,1
00-14-24-86,2,Purchased,0
00-14-26-86,1,Customary right of occupancy,2
00-14-32-82,1,Inherited,1
00-14-32-82,2,Inherited,0
00-14-60-93,1,Granted right of occupancy,5
00-14-61-05,1,Purchased,4
00-14-61-05,2,Purchased,9
00-14-64-12,1,Rented or leased in,1
00-14-64-12,2,Purchased,3
00-14-64-12,3,Rented or leased in,1
00-14-71-49,1,Rented or leased in,1
00-14-74-89,1,Inherited,0
00-14-77-27,1,Customary right of occupancy,101
00-14-77-27,2,Customary right of occupancy,12
00-14-81-09,1,Customary right of occupancy,0
00-14-81-09,2,Customary right of occupancy,1
00-14-88-58,1,Customary right of occupancy,0
00-14-88-58,2,Customary right of occupancy,1
00-15-07-77,1,Inherited,0
00-15-07-77,2,Inherited,1
00-15-19-93,1,Customary right of occupancy,0
00-15-19-93,2,Customary right of occupancy,0
00-15-26-33,1,Inherited,1
00-15-26-48,1,Customary right of occupancy,0
00-15-26-48,2,Customary right of occupancy,0
00-15-46-99,1,Other,0
00-15-55-52,1,Customary right of occupancy,0
00-15-55-52,2,Rented or leased in,1
00-15-55-52,3,Rented or leased in,1
00-15-56-71,1,Rented or leased in,1
00-15-87-03,1,Purchased,1
00-16-00-42,1,Inherited,1
00-16-00-42,2,Inherited,1
00-16-10-68,1,Rented or leased in,1
00-16-10-68,2,Borrowed for free,0
00-16-10-68,3,Borrowed for free,0
00-16-10-68,4,Borrowed for free,0
00-16-15-75,1,Inherited,0
00-16-15-75,2,Inherited,0
00-16-15-75,3,Inherited,1
00-16-31-75,1,Customary right of occupancy,0
00-16-31-75,2,Rented or leased in,0
00-16-31-75,3,Customary right of occupancy,0
00-16-31-75,4,Rented or leased in,1
00-16-31-75,5,Customary right of occupancy,0
00-16-33-74,1,Rented or leased in,0
00-16-33-74,2,Rented or leased in,0
