holding_id,holding_type,mainland_zanzibar,region,stratum_id,ea_id,weight,s2q10__1,s2q10__2,s2q10__3,s2q10__4,s2q10__5,s2q10__6,s2q10__7,s20q08,s20q09
56-50-70-09,Household,"Mainland, Tanzania",Ruvuma,517,9885,508,No,No,No,No,No,No,Yes,No,
56-50-74-57,Household,"Mainland, Tanzania",Tabora,289,7468,317,No,No,No,No,No,No,Yes,No,
56-52-32-75,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,,
56-53-57-04,,"Mainland, Tanzania",,153,8391,444,No,No,No,No,No,No,Yes,No,
56-54-29-74,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,,
56-55-56-85,Household,"Mainland, Tanzania",Morogoro,669,8945,903,No,No,No,No,No,No,Yes,No,
56-56-08-37,Household,"Mainland, Tanzania",Manyara,471,9577,417,No,No,No,No,No,No,Yes,,
56-56-57-06,Household,"Mainland, Tanzania",Manyara,471,4511,457,No,No,No,No,No,No,Yes,No,
56-57-94-20,Household,"Mainland, Tanzania",Dar es Salaam,102,3046,315,No,No,No,No,No,No,Yes,,
56-59-16-69,Household,"Mainland, Tanzania",Morogoro,735,4965,307,No,No,No,No,No,No,Yes,No,
56-59-26-54,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,Yes,2
56-59-65-79,Household,"Mainland, Tanzania",Arusha,212,5187,50,No,No,No,No,No,No,Yes,No,
56-59-97-12,Household,"Mainland, Tanzania",Morogoro,735,3199,443,No,No,No,No,No,No,Yes,No,
56-61-04-50,Household,"Mainland, Tanzania",Morogoro,735,8503,448,No,No,No,No,No,Yes,No,No,
56-62-69-77,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
56-62-98-78,Household,"Mainland, Tanzania",Dodoma,302,6173,665,No,No,No,No,No,No,Yes,No,
56-68-43-56,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
56-70-16-44,Household,Zanzibar,Kusini Unguja,361,2529,93,No,No,No,No,No,Yes,No,,
56-71-79-68,Household,"Mainland, Tanzania",Dar es Salaam,153,5823,311,No,No,No,No,No,No,Yes,No,
56-76-15-73,Household,"Mainland, Tanzania",Morogoro,735,3947,459,No,No,No,No,No,No,Yes,No,
56-76-71-20,Household,"Mainland, Tanzania",Manyara,203,9970,346,No,No,No,No,No,No,Yes,No,
56-78-02-69,Household,"Mainland, Tanzania",Dar es Salaam,102,2123,430,No,No,No,No,No,No,Yes,,
56-80-02-96,Household,"Mainland, Tanzania",Mbeya,671,2920,145,No,No,No,No,No,No,Yes,No,
56-81-82-75,Household,"Mainland, Tanzania",Shinyanga,456,2360,422,Yes,Yes,No,No,No,No,No,No,
56-82-94-95,Household,"Mainland, Tanzania",Morogoro,735,4965,307,No,No,No,No,No,Yes,No,,
56-88-92-00,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,,
56-89-35-30,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
56-93-22-06,Household,"Mainland, Tanzania",Dar es Salaam,654,8949,240,No,No,No,No,No,No,Yes,,
56-93-59-79,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
57-01-06-05,Household,"Mainland, Tanzania",Dar es Salaam,102,3191,1037,No,No,No,No,No,No,Yes,,
57-02-24-34,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
57-06-66-31,Household,Zanzibar,Mjini Magharibi,533,7435,168,No,No,No,No,No,No,Yes,,
57-08-20-30,Household,"Mainland, Tanzania",Dar es Salaam,654,8568,269,No,No,No,No,No,No,Yes,No,
57-09-51-93,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
57-09-90-77,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
57-10-17-85,Household,"Mainland, Tanzania",Morogoro,735,1734,482,No,No,No,No,No,No,Yes,No,
57-10-32-01,Household,"Mainland, Tanzania",Morogoro,669,5403,744,No,No,No,No,No,No,Yes,,
57-11-01-76,Household,"Mainland, Tanzania",Morogoro,735,7146,316,No,No,No,No,No,No,Yes,No,
57-13-10-03,Household,"Mainland, Tanzania",Dar es Salaam,153,8172,222,No,No,No,No,No,No,Yes,No,
57-18-73-53,Household,"Mainland, Tanzania",Morogoro,872,2663,906,No,No,No,No,No,No,Yes,No,
57-19-51-53,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
57-26-31-63,Household,"Mainland, Tanzania",Mbeya,597,3386,264,No,No,No,No,No,No,Yes,,
57-27-14-68,Household,"Mainland, Tanzania",Morogoro,872,6223,829,No,No,No,No,No,No,Yes,,
57-27-86-23,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,,
57-34-81-78,Household,Zanzibar,Kusini Unguja,314,7604,86,No,No,No,No,No,No,Yes,,
57-35-28-31,Household,"Mainland, Tanzania",Songwe,745,1842,212,No,No,No,No,No,No,Yes,No,
57-36-66-92,Household,Zanzibar,Mjini Magharibi,500,4782,55,No,No,No,No,No,No,Yes,,
57-36-90-29,Household,"Mainland, Tanzania",Dar es Salaam,102,2207,659,No,No,No,No,No,No,Yes,No,
57-39-40-40,Household,"Mainland, Tanzania",Mbeya,597,3386,264,No,No,No,No,No,No,Yes,No,
57-39-83-74,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
57-41-02-59,Household,"Mainland, Tanzania",Mara,925,4146,523,No,No,No,No,No,No,Yes,,
57-44-27-02,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
57-47-28-03,Household,"Mainland, Tanzania",Mbeya,597,8358,135,No,No,No,No,No,No,Yes,,
57-47-91-98,Household,"Mainland, Tanzania",Manyara,947,2046,286,No,No,No,No,No,No,Yes,,
57-48-01-88,Household,"Mainland, Tanzania",Dar es Salaam,153,3028,2220,No,No,No,No,No,No,Yes,No,
57-49-34-56,Household,"Mainland, Tanzania",Songwe,249,5564,164,No,No,No,No,No,No,Yes,No,
57-50-97-41,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
57-54-37-30,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
57-56-65-63,Household,"Mainland, Tanzania",Morogoro,735,6689,445,No,No,No,No,No,No,Yes,No,
57-56-96-35,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
